자치구,장애인 수,복지 지수,문화/체육 지수,유해성 지수,교통 지수,공시지가,의료 지수
강남구,4.750523743,8.214729119254425,8.531796815571475,1.0,7.663209492710148,1.0,10.0
강동구,6.098638268,6.924661399861309,4.170945142346369,2.8299018835033687,6.8544613176718485,5.250839891,4.9375
강북구,5.619806215,5.042889390388668,3.191579381207213,2.9227811379950084,3.3989508754825084,9.011939203,3.25
강서구,10.0,7.2014672683253735,9.628464481571584,1.5517753945775477,8.88378056743427,8.261295571,6.0625
관악구,6.725951466,7.38431151245196,4.76038125088966,3.23934071509681,3.9880098243497613,5.51341619,3.53125
광진구,3.599991271,2.0234198656668663,1.8530781538268832,5.020232851364067,4.389699472755112,4.868984091,2.125
구로구,6.004364525,6.6935665906660535,4.831063723935996,4.064928055449932,5.260677114031559,7.824753697,2.96875
금천구,3.287709497,2.3129232504377923,1.0,4.030640630865506,2.4161541463182314,7.907628176,2.125
노원구,9.355010475,8.450902934408317,10.0,7.433110911268338,5.450916352668246,9.117047899,2.6875
도봉구,4.796875,3.6944130925993384,3.428903830429531,6.8499464531582115,2.4808975058696467,10.0,2.6875
동대문구,4.882506983,6.101862301996798,1.6405863283447433,3.35221435638235,1.9929714466622053,5.885555496,4.9375
동작구,4.450026187,5.040349887409349,4.500836425788938,7.671125583429265,5.027250945151682,5.077772617,2.125
마포구,3.871813897,4.30643340933395,5.031144656192929,3.999323301661482,7.4743711471086876,3.027863932,1.0
서대문구,3.622774092,2.5846501129432204,4.355200832891571,5.811021629383724,4.492146146093807,5.792826054,2.125
서초구,2.829303422,5.482223476324233,8.17901312684152,3.199868832525113,10.0,2.654611382,4.09375
성동구,3.219361034,2.869074493165781,4.348881574746043,7.541812192976303,4.14287824499319,4.594627672,1.84375
성북구,5.614699721,8.71755078954484,5.280901678217582,9.51861158878771,7.366029532538144,7.144688214,2.125
송파구,6.78290852,10.0,7.958803785453071,1.7854593456455752,8.593341927866746,3.311623918,5.5
양천구,5.670871159,5.789503386181199,5.9323272141555226,10.0,2.4946192662228976,6.502774274,2.40625
영등포구,4.480665154,4.926072235006515,3.995783548389927,1.2038666888769887,5.091781127995057,4.794345839,4.375
용산구,1.806040503,1.0,2.1366860201593263,3.581936359836991,2.2888351651863483,2.568913134,1.0
은평구,7.332838687,8.951185101719412,4.81291888991273,2.2021023267017483,7.468131119152421,7.075956117,3.53125
종로구,1.115878142,6.371049661522909,1.452233418866073,2.278616014820122,3.579868458181362,3.10403328,1.84375
중구,1.0,3.597911963872273,5.238173521847713,3.1782419323369675,1.0,1.250022993,1.84375
중랑구,6.783301327,7.069413092246771,4.29973660713117,3.7647727435772502,3.7262947235024018,7.735689129,4.9375
